Date,Open,High,Low,Close,Adj Close,Volume
06/10/2020,23895.21094,24005.0293,23842.25,23980.65039,23980.65039,1325452200
07/10/2020,23999.78906,24243.91016,23905.41992,24242.85938,24242.85938,1537076100
08/10/2020,24263.33008,24263.33008,24021.92969,24193.34961,24193.34961,1182030300
09/10/2020,24343.81055,24343.81055,24059.28906,24119.13086,24119.13086,1358969500
12/10/2020,24217.25,24702.81055,24196.80078,24649.67969,24649.67969,2430403500
14/10/2020,24808.84961,24808.84961,24498.93945,24667.08984,24667.08984,2550042800
15/10/2020,24533.75,24573.25,24102.21094,24158.53906,24158.53906,2134202800
16/10/2020,24194.41016,24456.9707,24194.41016,24386.78906,24386.78906,2697525100
19/10/2020,24565.42969,24771.84961,24478.4707,24542.25977,24542.25977,3605537600
20/10/2020,24571.64063,24600.39063,24456.83984,24569.53906,24569.53906,1879052000
21/10/2020,24695.53906,24903,24653.16016,24754.41992,24754.41992,1929447200
22/10/2020,24696.31055,24817.00977,24556.55078,24786.13086,24786.13086,2486871200
23/10/2020,24773.11914,24970.58984,24683.25,24918.7793,24918.7793,2368156700
27/10/2020,24839.9707,24872.51953,24602.10938,24787.18945,24787.18945,2435164600
28/10/2020,24773.53906,24844.78906,24586.06055,24708.80078,24708.80078,2011940400
29/10/2020,24290.00977,24678.90039,24258.56055,24586.59961,24586.59961,1936749000
30/10/2020,24535.90039,24600.53906,24029.94922,24107.41992,24107.41992,2537744200
02/11/2020,24274.83008,24486.01953,24232.66016,24460.00977,24460.00977,2355413200
03/11/2020,24689.56055,25048.5293,24689.50977,24939.73047,24939.73047,2244353000
04/11/2020,24790,25093.7207,24733.23047,24886.14063,24886.14063,2305561500
05/11/2020,25500.91016,25695.91992,25343.43945,25695.91992,25695.91992,2617492000
06/11/2020,25750.7793,25799.9707,25540.98047,25712.9707,25712.9707,2370476000
09/11/2020,26157.76953,26172.23047,25950.41016,26016.16992,26016.16992,2350101500
10/11/2020,26474.03906,26474.03906,26041.86914,26301.48047,26301.48047,3847144100
11/11/2020,26226.80078,26432.56055,26168.63086,26226.98047,26226.98047,4120773700
12/11/2020,26409.33984,26460.93945,26071.15039,26169.38086,26169.38086,2679020500
13/11/2020,26114.59961,26156.85938,25909.17969,26156.85938,26156.85938,2435105000
16/11/2020,26362.07031,26394.40039,26191.53906,26381.66992,26381.66992,2090236500
17/11/2020,26515.08984,26530.53906,26339.88086,26415.08984,26415.08984,2394565600
18/11/2020,26434.24023,26618.00977,26344.85938,26544.28906,26544.28906,2292758600
19/11/2020,26460.60938,26460.60938,26311.64063,26356.9707,26356.9707,2413890100
20/11/2020,26406.86914,26564.25,26313.2793,26451.53906,26451.53906,2149354400
23/11/2020,26659.78906,26662.66016,26369.33984,26486.19922,26486.19922,2235155500
24/11/2020,26630.33984,26630.33984,26409.76953,26588.19922,26588.19922,2014989400
25/11/2020,26819.96094,27040.41016,26591.30078,26669.75,26669.75,2859974400
26/11/2020,26695.25,26819.44922,26612,26819.44922,26819.44922,1977652900
27/11/2020,26758.49023,27009.15039,26704.59961,26894.67969,26894.67969,2733597200
30/11/2020,26853.39063,26960.92969,26322.67969,26341.49023,26341.49023,5742060100
01/12/2020,26422.71094,26662.17969,26375.24023,26567.67969,26567.67969,3564238900
02/12/2020,26670.11914,26670.11914,26379.48047,26532.58008,26532.58008,3704087400
03/12/2020,26623.41992,26781.99023,26556.01953,26728.5,26728.5,2830413900
04/12/2020,26811.58984,26835.91992,26652.33984,26835.91992,26835.91992,3205350200
07/12/2020,26870.58008,26870.58008,26256.40039,26506.84961,26506.84961,2806021200
08/12/2020,26460.34961,26460.34961,26270.91016,26304.56055,26304.56055,2542680300
09/12/2020,26510.41992,26666.93945,26445.66016,26502.83984,26502.83984,2537716200
10/12/2020,26335.25977,26434.4707,26287.01953,26410.58984,26410.58984,2000568900
11/12/2020,26634.21094,26704.00977,26443.00977,26505.86914,26505.86914,2497420400
14/12/2020,26522.09961,26544.11914,26318.10938,26389.51953,26389.51953,2210976700
15/12/2020,26418.92969,26436.03906,26127.67969,26207.28906,26207.28906,2587144400
16/12/2020,26421.21094,26510.18945,26318.74023,26460.28906,26460.28906,2043444500
17/12/2020,26608.43945,26678.38086,26390.58984,26678.38086,26678.38086,2262422800
18/12/2020,26650.49023,26668.09961,26363.05078,26498.59961,26498.59961,3080026700
21/12/2020,26422.61914,26498.65039,26274.65039,26306.67969,26306.67969,2044977300
22/12/2020,26260.7793,26365.19922,25998.86914,26119.25,26119.25,1747533900
23/12/2020,26083.10938,26343.09961,26071.75977,26343.09961,26343.09961,2009461800
24/12/2020,26342.86914,26470.40039,26221.30078,26386.56055,26386.56055,1297803000
28/12/2020,26288.36914,26514.08008,26264.32031,26314.63086,26314.63086,2669629600
29/12/2020,26490.44922,26618.7793,26432.91016,26568.49023,26568.49023,2304707300
30/12/2020,26695.10938,27159.4707,26670.9707,27147.10938,27147.10938,2552802900
31/12/2020,27194.78906,27340.99023,27163.50977,27231.13086,27231.13086,2054705300
04/01/2021,27087.13086,27502.83008,27079.24023,27472.81055,27472.81055,2870443300
05/01/2021,27281.33984,27690.21094,27150.38086,27649.85938,27649.85938,3282490100
06/01/2021,27613.33984,27756.42969,27389.7793,27692.30078,27692.30078,3079382600
07/01/2021,27715.93945,27752.35938,27457.4707,27548.51953,27548.51953,3775142800
08/01/2021,27630.0293,27920.76953,27538.19922,27878.2207,27878.2207,5667284000
11/01/2021,28003.98047,28176.65039,27794.81055,27908.2207,27908.2207,4366094600
12/01/2021,27894.28906,28276.75,27781.41992,28276.75,28276.75,3399606200
13/01/2021,28309.32031,28414.53906,28136.64063,28235.59961,28235.59961,3559366600
14/01/2021,28408.11914,28510.91992,28280.08984,28496.85938,28496.85938,3205592600
15/01/2021,28394.36914,28667.58984,28294.66016,28573.85938,28573.85938,4485371800
18/01/2021,28454.58984,28864.25,28390.28906,28862.76953,28862.76953,2956444000
19/01/2021,29100.16992,29848.42969,29100.16992,29642.2793,29642.2793,4568245300
20/01/2021,29794.41016,29993.4707,29676.53906,29962.4707,29962.4707,3937834200
21/01/2021,29951.7793,30135.5,29745.86914,29927.75977,29927.75977,3004888900
22/01/2021,29809.23047,29862.89063,29413.51953,29447.84961,29447.84961,3381738600
25/01/2021,29677.30078,30191.16016,29673.25977,30159.00977,30159.00977,3066515300
26/01/2021,29892.84961,29965.10938,29345.74023,29391.25977,29391.25977,4810723600
27/01/2021,29556.58008,29636.63086,29194.36914,29297.5293,29297.5293,3808971800
28/01/2021,28914.84961,29191.67969,28467.00977,28550.76953,28550.76953,2993470100
29/01/2021,28826.17969,28972.06055,28259.73047,28283.71094,28283.71094,3196757600
01/02/2021,28457.84961,28982.76953,28382.25977,28892.85938,28892.85938,2464276400
02/02/2021,29378.11914,29511,29198.85938,29248.69922,29248.69922,2739194600
03/02/2021,29305.41016,29312,28967.00977,29307.46094,29307.46094,2681355500
04/02/2021,29093.53906,29409,28775.38086,29113.5,29113.5,3032246200
05/02/2021,29305.08984,29495.64063,29184.08984,29288.67969,29288.67969,2675266500
08/02/2021,29629.08008,29706.08008,29293.64063,29319.4707,29319.4707,2196734100
09/02/2021,29442.5,29527.66992,29263.98047,29476.18945,29476.18945,1851043400
10/02/2021,29796.18945,30075.5,29732.23047,30038.7207,30038.7207,1998284900
11/02/2021,29995.2793,30184.16992,29828.61914,30173.57031,30173.57031,1192111200
16/02/2021,30675.82031,30793.48047,30497.40039,30746.66016,30746.66016,3269676200
17/02/2021,30636.36914,31168.30078,30503.46094,31084.93945,31084.93945,3144032900
18/02/2021,31183.35938,31183.35938,30570.55078,30595.26953,30595.26953,3687581000
19/02/2021,30483.46094,30720.15039,30099.71094,30644.73047,30644.73047,3317191700
22/02/2021,31071.60938,31071.60938,30298.58008,30319.83008,30319.83008,4449910100
23/02/2021,30189.9707,30948.4707,30126.40039,30632.64063,30632.64063,4605710300
24/02/2021,30702.65039,30792.88086,29532.67969,29718.24023,29718.24023,4846335300
25/02/2021,30174.2207,30453.11914,29833.05078,30074.16992,30074.16992,3663892300
26/02/2021,29412.13086,29579.66992,28980.21094,28980.21094,28980.21094,4126393200
01/03/2021,29457.89063,29550.75,29195.9707,29452.57031,29452.57031,2629062100
02/03/2021,29708.39063,29765.96094,28957.31055,29095.85938,29095.85938,2895849600
03/03/2021,29249.42969,29912,29183.58984,29880.41992,29880.41992,3228618000
04/03/2021,29525.48047,29597.16016,29102.09961,29236.78906,29236.78906,2957909000
05/03/2021,28667.14063,29397.26953,28513.13086,29098.28906,29098.28906,3996713300
08/03/2021,29362.58984,29386.33008,28422.26953,28540.83008,28540.83008,4906906100
09/03/2021,28665.25977,29047.13086,28326.13086,28773.23047,28773.23047,4377944400
10/03/2021,29255.36914,29255.36914,28710.91016,28907.51953,28907.51953,2842785200
11/03/2021,28909.98047,29412.41992,28893.21094,29385.60938,29385.60938,3604263600
12/03/2021,29550.36914,29550.36914,28707.34961,28739.7207,28739.7207,3557237800
15/03/2021,28923.94922,29178.99023,28612.74023,28833.75977,28833.75977,3096719600
16/03/2021,29036.82031,29118.61914,28872.40039,29027.68945,29027.68945,2351605600
17/03/2021,28992.24023,29180.00977,28780.23047,29034.11914,29034.11914,1901329200
18/03/2021,29317.60938,29596.58008,29317.60938,29405.7207,29405.7207,2113745200
19/03/2021,29158.48047,29271.40039,28737.53906,28990.93945,28990.93945,3814440800
22/03/2021,28801.08984,29139.07031,28801.08984,28885.33984,28885.33984,2065830600
23/03/2021,29008.01953,29043.17969,28376.2207,28497.38086,28497.38086,2049560300
24/03/2021,28437.49023,28457.86914,27827.05078,27918.14063,27918.14063,2689142400
25/03/2021,27628.08008,28032.00977,27505.08008,27899.60938,27899.60938,2595007600
26/03/2021,28043.65039,28415.15039,28014.28906,28336.42969,28336.42969,2415384100
29/03/2021,28317.32031,28484.66016,28132.35938,28338.30078,28338.30078,2847744100
30/03/2021,28552.76953,28694.15039,28371.23047,28577.5,28577.5,2269839800
31/03/2021,28802.5293,28802.5293,28332.7793,28378.34961,28378.34961,2703755400
01/04/2021,28594.55078,28938.74023,28511.65039,28938.74023,28938.74023,2232972100
07/04/2021,29101.40039,29101.40039,28598.85938,28674.80078,28674.80078,2223606300
08/04/2021,28604.11914,29054.82031,28587.10938,29008.07031,29008.07031,2522329300
09/04/2021,29152.43945,29152.43945,28604.55078,28698.80078,28698.80078,1897265800
12/04/2021,28791.9707,28791.9707,28274.26953,28453.2793,28453.2793,1992325200
13/04/2021,28557.83984,28877.15039,28452.11914,28497.25,28497.25,2062117300
14/04/2021,28796.55078,28979.34961,28685.06055,28900.83008,28900.83008,1941501600
15/04/2021,28872.82031,28884.57031,28530.99023,28793.14063,28793.14063,1901863000
16/04/2021,28827.16992,29079.17969,28711.10938,28969.71094,28969.71094,2192409800
19/04/2021,28960.13086,29319.75977,28806.75977,29106.15039,29106.15039,2020128300
20/04/2021,28962.80078,29220.18945,28885.55078,29135.73047,29135.73047,2014210500
21/04/2021,28702.26953,28778.35938,28506.75977,28621.91992,28621.91992,2202031500
22/04/2021,28716.98047,28848.01953,28597,28755.33984,28755.33984,1934891300
23/04/2021,28798.44922,29078.75,28748.57031,29078.75,29078.75,1901002000
26/04/2021,29106.44922,29238.99023,28908.65039,28952.83008,28952.83008,1786353600
27/04/2021,28895.38086,29045.10938,28793.2207,28941.53906,28941.53906,1834872800
28/04/2021,28991.93945,29071.33984,28887.33008,29071.33984,29071.33984,2074074300
29/04/2021,29268.21094,29405.11914,29162.86914,29303.25977,29303.25977,1838135800
